location,week,first_dose,second_dose,vaccine,white_prop,black_prop,asian_prop,hispanic_prop
Vermont,2020-03-22,6500,6500,moderna,0.928,0.011,0.016,0.018
New Jersey,2020-03-22,87400,87400,moderna,0.545,0.124,0.096,0.21
New York,2020-03-22,111300,111300,moderna,0.552,0.14,0.086,0.193
Puerto Rico,2020-03-22,34200,34200,moderna,0.013,0.001,0,0.982
Delaware,2020-03-22,9500,9500,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-03-22,7200,7200,moderna,0.367,0.45,0.037,0.112
Maryland,2020-03-22,59000,59000,moderna,0.499,0.296,0.064,0.106
Pennsylvania,2020-03-22,112400,112400,moderna,0.76,0.104,0.035,0.078
Virginia,2020-03-22,82800,82800,moderna,0.613,0.189,0.067,0.096
West Virginia,2020-03-22,18500,18500,moderna,0.925,0.032,0.008,0.014
Alabama,2020-03-22,47700,47700,moderna,0.654,0.265,0.014,0.044
Florida,2020-03-22,208000,208000,moderna,0.53,0.15,0.027,0.266
Georgia,2020-03-22,98600,98600,moderna,0.52,0.313,0.041,0.098
Kentucky,2020-03-22,43400,43400,moderna,0.845,0.08,0.016,0.037
Mississippi,2020-03-22,28700,28700,moderna,0.566,0.376,0.01,0.03
North Carolina,2020-03-22,99500,99500,moderna,0.627,0.209,0.029,0.097
South Carolina,2020-03-22,48800,48800,moderna,0.637,0.262,0.017,0.057
Tennessee,2020-03-22,65200,65200,moderna,0.736,0.164,0.018,0.057
Illinois,2020-03-22,98700,98700,moderna,0.609,0.136,0.056,0.176
Indiana,2020-03-22,64100,64100,moderna,0.786,0.092,0.024,0.072
Michigan,2020-03-22,98200,98200,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-03-22,53800,53800,moderna,0.791,0.064,0.049,0.056
Ohio,2020-03-22,114100,114100,moderna,0.786,0.122,0.023,0.04
Wisconsin,2020-03-22,57100,57100,moderna,0.811,0.062,0.03,0.071
Arkansas,2020-03-22,28900,28900,moderna,0.721,0.152,0.016,0.078
Louisiana,2020-03-22,45000,45000,moderna,0.588,0.319,0.017,0.052
New Mexico,2020-03-22,20500,20500,moderna,0.367,0.017,0.016,0.495
Oklahoma,2020-03-22,37500,37500,moderna,0.65,0.069,0.021,0.111
Texas,2020-03-22,260400,260400,moderna,0.411,0.117,0.05,0.4
Iowa,2020-03-22,30400,30400,moderna,0.853,0.039,0.023,0.063
Kansas,2020-03-22,27800,27800,moderna,0.757,0.055,0.028,0.122
Missouri,2020-03-22,59500,59500,moderna,0.794,0.112,0.021,0.043
Nebraska,2020-03-22,18400,18400,moderna,0.785,0.048,0.024,0.113
Colorado,2020-03-22,54100,54100,moderna,0.678,0.038,0.032,0.218
Montana,2020-03-22,10400,10400,moderna,0.861,0.006,0.008,0.037
North Dakota,2020-03-22,7500,7500,moderna,0.841,0.024,0.014,0.04
South Dakota,2020-03-22,8300,8300,moderna,0.819,0.022,0.013,0.037
Utah,2020-03-22,27100,27100,moderna,0.778,0.01,0.023,0.144
Wyoming,2020-03-22,5700,5700,moderna,0.838,0.01,0.006,0.101
Arizona,2020-03-22,67600,67600,moderna,0.542,0.043,0.033,0.318
California,2020-03-22,380300,380300,moderna,0.364,0.053,0.147,0.395
Hawaii,2020-03-22,14200,14200,moderna,0.204,0.012,0.394,0.103
Nevada,2020-03-22,28500,28500,moderna,0.478,0.092,0.085,0.293
Alaska,2020-03-22,0,0,moderna,0.6,0.022,0.06,0.07
Idaho,2020-03-22,15800,15800,moderna,0.816,0.007,0.012,0.129
Oregon,2020-03-22,40800,40800,moderna,0.75,0.018,0.047,0.134
Washington,2020-03-22,72400,72400,moderna,0.675,0.038,0.089,0.13
Connecticut,2020-03-15,35800,35800,moderna,0.657,0.1,0.046,0.169
Maine,2020-03-15,13700,13700,moderna,0.932,0.014,0.011,0.017
Massachusetts,2020-03-15,69000,69000,moderna,0.705,0.07,0.067,0.124
New Hampshire,2020-03-15,13700,13700,moderna,0.898,0.013,0.026,0.039
Rhode Island,2020-03-15,10800,10800,moderna,0.705,0.059,0.033,0.166
Vermont,2020-03-15,6500,6500,moderna,0.928,0.011,0.016,0.018
New Jersey,2020-03-15,87400,87400,moderna,0.545,0.124,0.096,0.21
New York,2020-03-15,111300,111300,moderna,0.552,0.14,0.086,0.193
Puerto Rico,2020-03-15,34200,34200,moderna,0.013,0.001,0,0.982
Delaware,2020-03-15,9500,9500,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-03-15,7200,7200,moderna,0.367,0.45,0.037,0.112
Maryland,2020-03-15,59000,59000,moderna,0.499,0.296,0.064,0.106
Pennsylvania,2020-03-15,112400,112400,moderna,0.76,0.104,0.035,0.078
Virginia,2020-03-15,82800,82800,moderna,0.613,0.189,0.067,0.096
West Virginia,2020-03-15,18500,18500,moderna,0.925,0.032,0.008,0.014
Alabama,2020-03-15,47700,47700,moderna,0.654,0.265,0.014,0.044
Florida,2020-03-15,208000,208000,moderna,0.53,0.15,0.027,0.266
Georgia,2020-03-15,98600,98600,moderna,0.52,0.313,0.041,0.098
Kentucky,2020-03-15,43400,43400,moderna,0.845,0.08,0.016,0.037
Mississippi,2020-03-15,28700,28700,moderna,0.566,0.376,0.01,0.03
North Carolina,2020-03-15,99500,99500,moderna,0.627,0.209,0.029,0.097
South Carolina,2020-03-15,48800,48800,moderna,0.637,0.262,0.017,0.057
Tennessee,2020-03-15,65200,65200,moderna,0.736,0.164,0.018,0.057
Illinois,2020-03-15,98700,98700,moderna,0.609,0.136,0.056,0.176
Indiana,2020-03-15,64100,64100,moderna,0.786,0.092,0.024,0.072
Michigan,2020-03-15,98200,98200,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-03-15,53800,53800,moderna,0.791,0.064,0.049,0.056
Ohio,2020-03-15,114100,114100,moderna,0.786,0.122,0.023,0.04
Wisconsin,2020-03-15,57100,57100,moderna,0.811,0.062,0.03,0.071
Arkansas,2020-03-15,28900,28900,moderna,0.721,0.152,0.016,0.078
Louisiana,2020-03-15,45000,45000,moderna,0.588,0.319,0.017,0.052
New Mexico,2020-03-15,20500,20500,moderna,0.367,0.017,0.016,0.495
Oklahoma,2020-03-15,37500,37500,moderna,0.65,0.069,0.021,0.111
Texas,2020-03-15,260400,260400,moderna,0.411,0.117,0.05,0.4
Iowa,2020-03-15,30400,30400,moderna,0.853,0.039,0.023,0.063
Kansas,2020-03-15,27800,27800,moderna,0.757,0.055,0.028,0.122
Missouri,2020-03-15,59500,59500,moderna,0.794,0.112,0.021,0.043
Nebraska,2020-03-15,18400,18400,moderna,0.785,0.048,0.024,0.113
Colorado,2020-03-15,54100,54100,moderna,0.678,0.038,0.032,0.218
Montana,2020-03-15,10400,10400,moderna,0.861,0.006,0.008,0.037
North Dakota,2020-03-15,7500,7500,moderna,0.841,0.024,0.014,0.04
South Dakota,2020-03-15,8300,8300,moderna,0.819,0.022,0.013,0.037
Utah,2020-03-15,27100,27100,moderna,0.778,0.01,0.023,0.144
Wyoming,2020-03-15,5700,5700,moderna,0.838,0.01,0.006,0.101
Arizona,2020-03-15,67600,67600,moderna,0.542,0.043,0.033,0.318
California,2020-03-15,380300,380300,moderna,0.364,0.053,0.147,0.395
Hawaii,2020-03-15,14200,14200,moderna,0.204,0.012,0.394,0.103
Nevada,2020-03-15,28500,28500,moderna,0.478,0.092,0.085,0.293
Alaska,2020-03-15,0,0,moderna,0.6,0.022,0.06,0.07
Idaho,2020-03-15,15800,15800,moderna,0.816,0.007,0.012,0.129
Oregon,2020-03-15,40800,40800,moderna,0.75,0.018,0.047,0.134
Washington,2020-03-15,72400,72400,moderna,0.675,0.038,0.089,0.13
Connecticut,2020-03-08,35800,35800,moderna,0.657,0.1,0.046,0.169
Maine,2020-03-08,13700,13700,moderna,0.932,0.014,0.011,0.017
Massachusetts,2020-03-08,69000,69000,moderna,0.705,0.07,0.067,0.124
New Hampshire,2020-03-08,13700,13700,moderna,0.898,0.013,0.026,0.039
Rhode Island,2020-03-08,10800,10800,moderna,0.705,0.059,0.033,0.166
Vermont,2020-03-08,6500,6500,moderna,0.928,0.011,0.016,0.018
New Jersey,2020-03-08,87400,87400,moderna,0.545,0.124,0.096,0.21
New York,2020-03-08,111300,111300,moderna,0.552,0.14,0.086,0.193
Puerto Rico,2020-03-08,34200,34200,moderna,0.013,0.001,0,0.982
Delaware,2020-03-08,9500,9500,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-03-08,7200,7200,moderna,0.367,0.45,0.037,0.112
Maryland,2020-03-08,59000,59000,moderna,0.499,0.296,0.064,0.106
Pennsylvania,2020-03-08,112400,112400,moderna,0.76,0.104,0.035,0.078
Virginia,2020-03-08,82800,82800,moderna,0.613,0.189,0.067,0.096
West Virginia,2020-03-08,18500,18500,moderna,0.925,0.032,0.008,0.014
Alabama,2020-03-08,47700,47700,moderna,0.654,0.265,0.014,0.044
Florida,2020-03-08,208000,208000,moderna,0.53,0.15,0.027,0.266
Georgia,2020-03-08,98600,98600,moderna,0.52,0.313,0.041,0.098
Kentucky,2020-03-08,43400,43400,moderna,0.845,0.08,0.016,0.037
Mississippi,2020-03-08,28700,28700,moderna,0.566,0.376,0.01,0.03
North Carolina,2020-03-08,99500,99500,moderna,0.627,0.209,0.029,0.097
South Carolina,2020-03-08,48800,48800,moderna,0.637,0.262,0.017,0.057
Tennessee,2020-03-08,65200,65200,moderna,0.736,0.164,0.018,0.057
Illinois,2020-03-08,98700,98700,moderna,0.609,0.136,0.056,0.176
Indiana,2020-03-08,64100,64100,moderna,0.786,0.092,0.024,0.072
Michigan,2020-03-08,98200,98200,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-03-08,53800,53800,moderna,0.791,0.064,0.049,0.056
Ohio,2020-03-08,114100,114100,moderna,0.786,0.122,0.023,0.04
Wisconsin,2020-03-08,57100,57100,moderna,0.811,0.062,0.03,0.071
Arkansas,2020-03-08,28900,28900,moderna,0.721,0.152,0.016,0.078
Louisiana,2020-03-08,45000,45000,moderna,0.588,0.319,0.017,0.052
New Mexico,2020-03-08,20500,20500,moderna,0.367,0.017,0.016,0.495
Oklahoma,2020-03-08,37500,37500,moderna,0.65,0.069,0.021,0.111
Texas,2020-03-08,260400,260400,moderna,0.411,0.117,0.05,0.4
Iowa,2020-03-08,30400,30400,moderna,0.853,0.039,0.023,0.063
Kansas,2020-03-08,27800,27800,moderna,0.757,0.055,0.028,0.122
Missouri,2020-03-08,59500,59500,moderna,0.794,0.112,0.021,0.043
Nebraska,2020-03-08,18400,18400,moderna,0.785,0.048,0.024,0.113
Colorado,2020-03-08,54100,54100,moderna,0.678,0.038,0.032,0.218
Montana,2020-03-08,10400,10400,moderna,0.861,0.006,0.008,0.037
North Dakota,2020-03-08,7500,7500,moderna,0.841,0.024,0.014,0.04
South Dakota,2020-03-08,8300,8300,moderna,0.819,0.022,0.013,0.037
Utah,2020-03-08,27100,27100,moderna,0.778,0.01,0.023,0.144
Wyoming,2020-03-08,5700,5700,moderna,0.838,0.01,0.006,0.101
Arizona,2020-03-08,67600,67600,moderna,0.542,0.043,0.033,0.318
California,2020-03-08,380300,380300,moderna,0.364,0.053,0.147,0.395
Hawaii,2020-03-08,14200,14200,moderna,0.204,0.012,0.394,0.103
Nevada,2020-03-08,28500,28500,moderna,0.478,0.092,0.085,0.293
Alaska,2020-03-08,0,0,moderna,0.6,0.022,0.06,0.07
Idaho,2020-03-08,15800,15800,moderna,0.816,0.007,0.012,0.129
Oregon,2020-03-08,40800,40800,moderna,0.75,0.018,0.047,0.134
Washington,2020-03-08,72400,72400,moderna,0.675,0.038,0.089,0.13
Alabama,2020-03-01,47700,47700,moderna,0.654,0.265,0.014,0.044
Alaska,2020-03-01,49300,49300,moderna,0.6,0.022,0.06,0.07
Arizona,2020-03-01,67600,67600,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-03-01,28900,28900,moderna,0.721,0.152,0.016,0.078
California,2020-03-01,380300,380300,moderna,0.364,0.053,0.147,0.395
Colorado,2020-03-01,54100,54100,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-03-01,35800,35800,moderna,0.657,0.1,0.046,0.169
Delaware,2020-03-01,9500,9500,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-03-01,7200,7200,moderna,0.367,0.45,0.037,0.112
Florida,2020-03-01,208000,208000,moderna,0.53,0.15,0.027,0.266
Georgia,2020-03-01,98600,98600,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-03-01,14200,14200,moderna,0.204,0.012,0.394,0.103
Idaho,2020-03-01,15800,15800,moderna,0.816,0.007,0.012,0.129
Illinois,2020-03-01,98700,98700,moderna,0.609,0.136,0.056,0.176
Indiana,2020-03-01,64100,64100,moderna,0.786,0.092,0.024,0.072
Iowa,2020-03-01,30400,30400,moderna,0.853,0.039,0.023,0.063
Kansas,2020-03-01,27800,27800,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-03-01,43400,43400,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-03-01,45000,45000,moderna,0.588,0.319,0.017,0.052
Maine,2020-03-01,13700,13700,moderna,0.932,0.014,0.011,0.017
Maryland,2020-03-01,59000,59000,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-03-01,69000,69000,moderna,0.705,0.07,0.067,0.124
Michigan,2020-03-01,98200,98200,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-03-01,53800,53800,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-03-01,28700,28700,moderna,0.566,0.376,0.01,0.03
Missouri,2020-03-01,59500,59500,moderna,0.794,0.112,0.021,0.043
Montana,2020-03-01,10400,10400,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-03-01,18400,18400,moderna,0.785,0.048,0.024,0.113
Nevada,2020-03-01,28500,28500,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-03-01,13700,13700,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-03-01,87400,87400,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-03-01,20500,20500,moderna,0.367,0.017,0.016,0.495
New York,2020-03-01,111300,111300,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-03-01,99500,99500,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-03-01,7500,7500,moderna,0.841,0.024,0.014,0.04
Ohio,2020-03-01,114100,114100,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-03-01,37500,37500,moderna,0.65,0.069,0.021,0.111
Oregon,2020-03-01,40800,40800,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-03-01,112400,112400,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-03-01,34200,34200,moderna,0.013,0.001,0,0.982
Rhode Island,2020-03-01,10800,10800,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-03-01,48800,48800,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-03-01,8300,8300,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-03-01,65200,65200,moderna,0.736,0.164,0.018,0.057
Texas,2020-03-01,260400,260400,moderna,0.411,0.117,0.05,0.4
Utah,2020-03-01,27100,27100,moderna,0.778,0.01,0.023,0.144
Vermont,2020-03-01,6500,6500,moderna,0.928,0.011,0.016,0.018
Virginia,2020-03-01,82800,82800,moderna,0.613,0.189,0.067,0.096
Washington,2020-03-01,72400,72400,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-03-01,18500,18500,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-03-01,57100,57100,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-03-01,5700,5700,moderna,0.838,0.01,0.006,0.101
Alabama,2020-02-22,47700,47700,moderna,0.654,0.265,0.014,0.044
Alaska,2020-02-22,0,0,moderna,0.6,0.022,0.06,0.07
Arizona,2020-02-22,67600,67600,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-02-22,28900,28900,moderna,0.721,0.152,0.016,0.078
California,2020-02-22,380300,380300,moderna,0.364,0.053,0.147,0.395
Colorado,2020-02-22,54100,54100,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-02-22,35800,35800,moderna,0.657,0.1,0.046,0.169
Delaware,2020-02-22,9500,9500,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-02-22,7200,7200,moderna,0.367,0.45,0.037,0.112
Florida,2020-02-22,208000,208000,moderna,0.53,0.15,0.027,0.266
Georgia,2020-02-22,98600,98600,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-02-22,14200,14200,moderna,0.204,0.012,0.394,0.103
Idaho,2020-02-22,15800,15800,moderna,0.816,0.007,0.012,0.129
Illinois,2020-02-22,98700,98700,moderna,0.609,0.136,0.056,0.176
Indiana,2020-02-22,64100,64100,moderna,0.786,0.092,0.024,0.072
Iowa,2020-02-22,30400,30400,moderna,0.853,0.039,0.023,0.063
Kansas,2020-02-22,27800,27800,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-02-22,43400,43400,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-02-22,45000,45000,moderna,0.588,0.319,0.017,0.052
Maine,2020-02-22,13700,13700,moderna,0.932,0.014,0.011,0.017
Maryland,2020-02-22,59000,59000,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-02-22,69000,69000,moderna,0.705,0.07,0.067,0.124
Michigan,2020-02-22,98200,98200,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-02-22,53800,53800,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-02-22,28700,28700,moderna,0.566,0.376,0.01,0.03
Missouri,2020-02-22,59500,59500,moderna,0.794,0.112,0.021,0.043
Montana,2020-02-22,10400,10400,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-02-22,18400,18400,moderna,0.785,0.048,0.024,0.113
Nevada,2020-02-22,28500,28500,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-02-22,13700,13700,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-02-22,87400,87400,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-02-22,20500,20500,moderna,0.367,0.017,0.016,0.495
New York,2020-02-22,111300,111300,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-02-22,99500,99500,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-02-22,7500,7500,moderna,0.841,0.024,0.014,0.04
Ohio,2020-02-22,114100,114100,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-02-22,37500,37500,moderna,0.65,0.069,0.021,0.111
Oregon,2020-02-22,40800,40800,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-02-22,112400,112400,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-02-22,34200,34200,moderna,0.013,0.001,0,0.982
Rhode Island,2020-02-22,10800,10800,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-02-22,48800,48800,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-02-22,8300,8300,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-02-22,65200,65200,moderna,0.736,0.164,0.018,0.057
Texas,2020-02-22,260400,260400,moderna,0.411,0.117,0.05,0.4
Utah,2020-02-22,27100,27100,moderna,0.778,0.01,0.023,0.144
Vermont,2020-02-22,6500,6500,moderna,0.928,0.011,0.016,0.018
Virginia,2020-02-22,82800,82800,moderna,0.613,0.189,0.067,0.096
Washington,2020-02-22,72400,72400,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-02-22,18500,18500,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-02-22,57100,57100,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-02-22,5700,5700,moderna,0.838,0.01,0.006,0.101
Alabama,2020-02-15,47700,47700,moderna,0.654,0.265,0.014,0.044
Alaska,2020-02-15,0,0,moderna,0.6,0.022,0.06,0.07
Arizona,2020-02-15,67600,67600,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-02-15,28900,28900,moderna,0.721,0.152,0.016,0.078
California,2020-02-15,380300,380300,moderna,0.364,0.053,0.147,0.395
Colorado,2020-02-15,54100,54100,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-02-15,35800,35800,moderna,0.657,0.1,0.046,0.169
Delaware,2020-02-15,9500,9500,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-02-15,7200,7200,moderna,0.367,0.45,0.037,0.112
Florida,2020-02-15,208000,208000,moderna,0.53,0.15,0.027,0.266
Georgia,2020-02-15,98600,98600,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-02-15,14200,14200,moderna,0.204,0.012,0.394,0.103
Idaho,2020-02-15,15800,15800,moderna,0.816,0.007,0.012,0.129
Illinois,2020-02-15,98700,98700,moderna,0.609,0.136,0.056,0.176
Indiana,2020-02-15,64100,64100,moderna,0.786,0.092,0.024,0.072
Iowa,2020-02-15,30400,30400,moderna,0.853,0.039,0.023,0.063
Kansas,2020-02-15,27800,27800,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-02-15,43400,43400,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-02-15,45000,45000,moderna,0.588,0.319,0.017,0.052
Maine,2020-02-15,13700,13700,moderna,0.932,0.014,0.011,0.017
Maryland,2020-02-15,59000,59000,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-02-15,69000,69000,moderna,0.705,0.07,0.067,0.124
Michigan,2020-02-15,98200,98200,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-02-15,53800,53800,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-02-15,28700,28700,moderna,0.566,0.376,0.01,0.03
Missouri,2020-02-15,59500,59500,moderna,0.794,0.112,0.021,0.043
Montana,2020-02-15,10400,10400,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-02-15,18400,18400,moderna,0.785,0.048,0.024,0.113
Nevada,2020-02-15,28500,28500,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-02-15,13700,13700,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-02-15,87400,87400,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-02-15,20500,20500,moderna,0.367,0.017,0.016,0.495
New York,2020-02-15,111300,111300,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-02-15,99500,99500,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-02-15,7500,7500,moderna,0.841,0.024,0.014,0.04
Ohio,2020-02-15,114100,114100,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-02-15,37500,37500,moderna,0.65,0.069,0.021,0.111
Oregon,2020-02-15,40800,40800,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-02-15,112400,112400,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-02-15,34200,34200,moderna,0.013,0.001,0,0.982
Rhode Island,2020-02-15,10800,10800,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-02-15,48800,48800,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-02-15,8300,8300,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-02-15,65200,65200,moderna,0.736,0.164,0.018,0.057
Texas,2020-02-15,260400,260400,moderna,0.411,0.117,0.05,0.4
Utah,2020-02-15,27100,27100,moderna,0.778,0.01,0.023,0.144
Vermont,2020-02-15,6500,6500,moderna,0.928,0.011,0.016,0.018
Virginia,2020-02-15,82800,82800,moderna,0.613,0.189,0.067,0.096
Washington,2020-02-15,72400,72400,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-02-15,18500,18500,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-02-15,57100,57100,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-02-15,5700,5700,moderna,0.838,0.01,0.006,0.101
Alabama,2020-02-08,44100,44100,moderna,0.654,0.265,0.014,0.044
Alaska,2020-02-08,0,0,moderna,0.6,0.022,0.06,0.07
Arizona,2020-02-08,62500,62500,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-02-08,26800,26800,moderna,0.721,0.152,0.016,0.078
California,2020-02-08,351900,351900,moderna,0.364,0.053,0.147,0.395
Colorado,2020-02-08,50000,50000,moderna,0.678,0.038,0.032,0.218
Connecticut,2020-02-08,33100,33100,moderna,0.657,0.1,0.046,0.169
Delaware,2020-02-08,8800,8800,moderna,0.614,0.218,0.039,0.097
District of Columbia,2020-02-08,6600,6600,moderna,0.367,0.45,0.037,0.112
Florida,2020-02-08,192500,192500,moderna,0.53,0.15,0.027,0.266
Georgia,2020-02-08,91300,91300,moderna,0.52,0.313,0.041,0.098
Hawaii,2020-02-08,13100,13100,moderna,0.204,0.012,0.394,0.103
Idaho,2020-02-08,14700,14700,moderna,0.816,0.007,0.012,0.129
Illinois,2020-02-08,91300,91300,moderna,0.609,0.136,0.056,0.176
Indiana,2020-02-08,59300,59300,moderna,0.786,0.092,0.024,0.072
Iowa,2020-02-08,28200,28200,moderna,0.853,0.039,0.023,0.063
Kansas,2020-02-08,25700,25700,moderna,0.757,0.055,0.028,0.122
Kentucky,2020-02-08,40200,40200,moderna,0.845,0.08,0.016,0.037
Louisiana,2020-02-08,41600,41600,moderna,0.588,0.319,0.017,0.052
Maine,2020-02-08,12700,12700,moderna,0.932,0.014,0.011,0.017
Maryland,2020-02-08,54600,54600,moderna,0.499,0.296,0.064,0.106
Massachusetts,2020-02-08,63800,63800,moderna,0.705,0.07,0.067,0.124
Michigan,2020-02-08,90900,90900,moderna,0.749,0.134,0.032,0.053
Minnesota,2020-02-08,49700,49700,moderna,0.791,0.064,0.049,0.056
Mississippi,2020-02-08,26600,26600,moderna,0.566,0.376,0.01,0.03
Missouri,2020-02-08,55100,55100,moderna,0.794,0.112,0.021,0.043
Montana,2020-02-08,9600,9600,moderna,0.861,0.006,0.008,0.037
Nebraska,2020-02-08,17000,17000,moderna,0.785,0.048,0.024,0.113
Nevada,2020-02-08,26400,26400,moderna,0.478,0.092,0.085,0.293
New Hampshire,2020-02-08,12700,12700,moderna,0.898,0.013,0.026,0.039
New Jersey,2020-02-08,80900,80900,moderna,0.545,0.124,0.096,0.21
New Mexico,2020-02-08,19000,19000,moderna,0.367,0.017,0.016,0.495
New York,2020-02-08,103000,103000,moderna,0.552,0.14,0.086,0.193
North Carolina,2020-02-08,92000,92000,moderna,0.627,0.209,0.029,0.097
North Dakota,2020-02-08,6900,6900,moderna,0.841,0.024,0.014,0.04
Ohio,2020-02-08,105600,105600,moderna,0.786,0.122,0.023,0.04
Oklahoma,2020-02-08,34700,34700,moderna,0.65,0.069,0.021,0.111
Oregon,2020-02-08,37800,37800,moderna,0.75,0.018,0.047,0.134
Pennsylvania,2020-02-08,104000,104000,moderna,0.76,0.104,0.035,0.078
Puerto Rico,2020-02-08,31600,31600,moderna,0.013,0.001,0,0.982
Rhode Island,2020-02-08,10000,10000,moderna,0.705,0.059,0.033,0.166
South Carolina,2020-02-08,45200,45200,moderna,0.637,0.262,0.017,0.057
South Dakota,2020-02-08,7700,7700,moderna,0.819,0.022,0.013,0.037
Tennessee,2020-02-08,60300,60300,moderna,0.736,0.164,0.018,0.057
Texas,2020-02-08,241000,241000,moderna,0.411,0.117,0.05,0.4
Utah,2020-02-08,25100,25100,moderna,0.778,0.01,0.023,0.144
Vermont,2020-02-08,6000,6000,moderna,0.928,0.011,0.016,0.018
Virginia,2020-02-08,76600,76600,moderna,0.613,0.189,0.067,0.096
Washington,2020-02-08,67000,67000,moderna,0.675,0.038,0.089,0.13
West Virginia,2020-02-08,17100,17100,moderna,0.925,0.032,0.008,0.014
Wisconsin,2020-02-08,52900,52900,moderna,0.811,0.062,0.03,0.071
Wyoming,2020-02-08,5300,5300,moderna,0.838,0.01,0.006,0.101
Alabama,2020-02-01,40400,40400,moderna,0.654,0.265,0.014,0.044
Alaska,2020-02-01,32300,32300,moderna,0.6,0.022,0.06,0.07
Arizona,2020-02-01,57200,57200,moderna,0.542,0.043,0.033,0.318
Arkansas,2020-02-01,24500,24500,moderna,0.721,0.152,0.016,0.078
